DRUG_NAME,CELL_LINE_NAME,AUC_FA
5-Fluorouracil,RKO,0.253533734484565
Linsitinib,NCI-H747,0.212481666136683
Linsitinib,CL-11,0.133322372039664
Alisertib,A549,0.341118323637951
5-Fluorouracil,A549,0.203022309670039
Irinotecan,A375,0.359086795987128
Oxaliplatin,A375,5.10558657250679e-002
5-Fluorouracil,SW620,3.45032736209309e-002
VE-822,SW620,6.21546732229356e-002
VE-822,HT-29,0.363800598579627
Alisertib,HCT-15,0.368043820371237
VE-822,HCT-15,0.404848146046137
Oxaliplatin,SNU-C2B,6.77790279553287e-002
5-Fluorouracil,CL-40,-4.54308670409953e-002
VE-822,C32,7.28449771360686e-002
Crizotinib,TC-71,-3.36655321898142e-003
Mirin,TC-71,-5.10208568994914e-002
Alisertib,RKO,0.136795356436055
Irinotecan,RKO,3.8477913502715e-002
Linsitinib,RKO,-1.00960322253049e-002
Irinotecan,HT-29,-2.65912682640419e-002
AZD5582,PC-14,8.2759281534089e-002
WZ4003,A549,0.107997100295556
CZC24832,A549,5.83282862583688e-003
WZ4003,A375,8.19370920014074e-002
AZD5582,A375,6.51316436063751e-002
GSK2606414,A375,7.98832164270674e-002
Alisertib,MHH-ES-1,0.534301115650942
Crizotinib,MHH-ES-1,9.44093754619036e-002
Oxaliplatin,MHH-ES-1,-6.24576659923764e-003
Crizotinib,C32,4.73280372465799e-003
Irinotecan,C32,0.19329988601813
Oxaliplatin,C32,2.66425090614608e-002
Linsitinib,C32,1.50230953090579e-002
5-Fluorouracil,C32,1.17409735527814e-002
WZ4003,C32,7.15355843486049e-002
GSK2606414,C32,2.60111473817595e-002
Crizotinib,U-2-OS,-2.45605513164569e-002
Irinotecan,U-2-OS,-4.23510343344709e-002
5-Fluorouracil,U-2-OS,3.01042020789765e-002
Mirin,U-2-OS,-5.1584251713218e-002
VE-822,U-2-OS,5.51589488317499e-002
AZD5582,U-2-OS,-5.63612065389027e-003
Oxaliplatin,TC-71,-4.41108854979379e-003
Entinostat,DiFi,0.12488067815315
WZ4003,DiFi,8.52434490107085e-002
CZC24832,DiFi,2.83943050045484e-002
AZD5582,DiFi,0.168519245502266
Mirin,RKO,-1.54574925487071e-002
Entinostat,RKO,9.5222486299439e-002
VE-822,RKO,2.51183667827333e-002
WZ4003,RKO,4.93336224716817e-002
CZC24832,RKO,1.9196683060649e-002
GSK2606414,RKO,0.103308864644975
Oxaliplatin,NCI-H747,6.29392350887787e-002
Alisertib,COLO-320-HSR,0.126618322142349
Irinotecan,COLO-320-HSR,-4.97593782958822e-002
Linsitinib,COLO-320-HSR,0.249499511410411
5-Fluorouracil,COLO-320-HSR,6.57101021830916e-002
Mirin,COLO-320-HSR,-7.08438243829775e-002
Alisertib,PC-14,0.177177797240132
Crizotinib,PC-14,3.26755074085431e-002
5-Fluorouracil,PC-14,7.98167312787444e-002
Crizotinib,A549,6.32719743443986e-002
Irinotecan,A549,9.89636573465602e-002
Linsitinib,A549,0.1374555639049
Mirin,A549,-3.57002848181192e-002
Alisertib,A375,0.293084163600143
Crizotinib,A375,5.55905769762284e-003
Linsitinib,A375,9.97233348532827e-002
5-Fluorouracil,A375,6.50764469421033e-002
Alisertib,SW620,0.193485184022618
Linsitinib,SW620,0.104358974444195
WZ4003,SW620,3.75976190293655e-002
CZC24832,SW620,-9.06720609585275e-003
Alisertib,HT-29,0.159293803235718
Linsitinib,HT-29,0.283557289631725
WZ4003,HT-29,7.0543764768072e-002
CZC24832,HT-29,7.30989469552847e-003
Irinotecan,HCT-15,8.91741148596118e-002
Linsitinib,HCT-15,0.112887805765432
CZC24832,HCT-15,2.86385440014751e-002
AZD5582,HCT-15,9.44341210595069e-002
Alisertib,SNU-C2B,0.117704884315093
Irinotecan,SNU-C2B,8.00370886050627e-002
CZC24832,PC-14,1.97861240013109e-002
GSK2606414,A549,0.156036244406964
Entinostat,A375,0.216631055909509
Linsitinib,MHH-ES-1,9.20757662742209e-002
5-Fluorouracil,MHH-ES-1,-4.76215637344952e-003
Mirin,MHH-ES-1,-3.13238376504938e-002
Alisertib,C32,0.143286019001349
Mirin,C32,-1.37747087315214e-002
CZC24832,C32,2.8893497061571e-002
AZD5582,C32,0.170902287799639
Alisertib,U-2-OS,0.122226106543338
Oxaliplatin,U-2-OS,-8.57608383373746e-003
Linsitinib,U-2-OS,4.64144422305705e-002
CZC24832,U-2-OS,2.08832884904369e-003
Alisertib,TC-71,0.389777525298865
5-Fluorouracil,TC-71,-5.76623381981138e-002
VE-822,DiFi,2.78285197967699e-002
AZD5582,RKO,0.386294402047368
5-Fluorouracil,NCI-H747,0.144456615229893
5-Fluorouracil,CL-11,2.4173751616035e-002
Irinotecan,PC-14,7.62920709134997e-002
Oxaliplatin,PC-14,4.98165892672743e-002
Linsitinib,PC-14,4.02640967267173e-003
Mirin,PC-14,9.69891444770343e-002
Mirin,A375,-3.67338032181898e-003
Mirin,SW620,-1.66777329162186e-002
AZD5582,SW620,0.158809101549491
Mirin,HT-29,-5.23622919953299e-002
Mirin,HCT-15,-5.24034481841157e-002
Entinostat,SNU-C2B,0.14586396030655
Entinostat,MHH-ES-1,0.15362231310824
Alisertib,MFM-223,0.505510758141152
Crizotinib,MFM-223,0.126771651716223
Linsitinib,MFM-223,-1.52042858794104e-002
5-Fluorouracil,MFM-223,2.36176481600946e-002
GSK2606414,MFM-223,0.112529783309795
Entinostat,SR,0.472232062236076
AZD5582,SR,0.679656285264332
Linsitinib,DiFi,0.17188461601433
Crizotinib,CCK-81,0.179287187384669
Oxaliplatin,CCK-81,0.333480502868051
Linsitinib,CCK-81,0.267451762187938
5-Fluorouracil,CCK-81,0.225889304864984
Entinostat,COLO-205,0.138080321906523
VE-822,COLO-205,3.26584880746123e-002
Crizotinib,SK-CO-1,0.358317353135603
Oxaliplatin,SK-CO-1,0.282544645458747
5-Fluorouracil,SK-CO-1,0.138696202373833
Crizotinib,LS-411N,0.199918440609846
Oxaliplatin,LS-411N,0.138701315202155
5-Fluorouracil,LS-411N,7.11665828982763e-002
Crizotinib,LS-123,0.150101564415871
Oxaliplatin,LS-123,6.5706534685229e-002
Linsitinib,LS-123,5.70535671672675e-002
Crizotinib,LS-1034,0.114745554638477
Crizotinib,HCC2998,0.17507899864845
Oxaliplatin,HCC2998,0.145280776372967
Entinostat,HCC2998,0.21347849600954
GSK2606414,LU-139,2.30210997090334e-002
Crizotinib,MDST8,0.236263878282542
Linsitinib,MDST8,0.124241396890549
Crizotinib,KM12,0.640377023768998
Oxaliplatin,KM12,5.85417172955086e-002
Linsitinib,KM12,2.74874649960701e-004
Entinostat,CaR-1,0.146055417350522
Oxaliplatin,HT-115,5.26314020568775e-002
Linsitinib,HT-115,0.199896408938613
Entinostat,HT-115,0.22852503842782
VE-822,HT-115,-3.32795057407634e-002
Crizotinib,GP5d,0.306856276171174
Oxaliplatin,GP5d,0.220376461911062
5-Fluorouracil,GP5d,7.2352154180787e-002
GSK2606414,GP5d,6.00197662300778e-002
GSK2606414,HuTu-80,0.106358497699431
Crizotinib,HCT-116,0.305074717507479
Oxaliplatin,HCT-116,0.270678955755969
5-Fluorouracil,HCT-116,9.60456077595395e-002
5-Fluorouracil,SNU-C5,0.177258025812044
5-Fluorouracil,SNU-C2B,0.159084409457009
VE-822,MHH-ES-1,0.116131771571548
VE-822,SR,0.199725392863609
Linsitinib,HCC2998,0.109305669491419
5-Fluorouracil,HCC2998,0.361032002715058
AZD5582,HCC2998,0.347264819133257
AZD5582,LU-139,0.224384416281642
Oxaliplatin,MDST8,0.166125446886471
5-Fluorouracil,MDST8,8.6064798900963e-002
5-Fluorouracil,KM12,0.281976661409215
VE-822,CaR-1,7.17927590036014e-002
Irinotecan,GP5d,0.211733271761738
Linsitinib,GP5d,6.71112251135712e-002
WZ4003,CW-2,-8.0078170455952e-002
VE-822,HuTu-80,0.105507845762318
Linsitinib,HCT-116,4.81130713171968e-002
Crizotinib,SNU-C5,0.198829632444656
Irinotecan,SNU-C5,0.168812510761197
Linsitinib,SNU-C5,7.50940283049973e-002
Entinostat,SNU-C5,0.239698927271734
VE-822,SNU-C5,0.260343879193652
WZ4003,SR,0.13777660447495
Entinostat,SKM-1,0.389717260430309
Linsitinib,LS-1034,0.171522469147304
Alisertib,HCC2998,1.36829286639236e-002
CZC24832,HCC2998,2.23714745410714e-002
Entinostat,LU-139,0.345118172708367
WZ4003,CaR-1,3.1322019121898e-002
Crizotinib,HT-115,0.244726278628639
Irinotecan,HT-115,-4.81577197415652e-002
Oxaliplatin,SNU-C5,0.11247594445315
VE-822,SNU-C2B,2.89022283088518e-002
WZ4003,SNU-C2B,3.55405291553278e-002
CZC24832,SNU-C2B,1.30282743161666e-002
AZD5582,SNU-C2B,0.481786138091959
WZ4003,MHH-ES-1,8.5476485813228e-002
AZD5582,MHH-ES-1,0.191228289978026
GSK2606414,MHH-ES-1,6.53173002810188e-002
Oxaliplatin,MFM-223,-2.47853133996162e-003
Entinostat,MFM-223,-8.40690410839334e-003
VE-822,MFM-223,2.4839921184119e-002
WZ4003,MFM-223,-1.21100595182481e-002
CZC24832,MFM-223,-1.35434699104958e-002
CZC24832,SR,-3.98938079384228e-002
GSK2606414,SR,0.312490964266191
VE-822,SKM-1,-2.2047774199489e-002
WZ4003,SKM-1,-1.35677832627125e-002
AZD5582,SKM-1,0.329190933890126
GSK2606414,SKM-1,2.08665223025785e-002
Crizotinib,DiFi,2.99846376866968e-002
Oxaliplatin,DiFi,0.137862585935787
5-Fluorouracil,DiFi,0.184521671256793
WZ4003,COLO-205,2.35936561260293e-002
AZD5582,COLO-205,7.76779759506263e-002
GSK2606414,COLO-205,9.55209079695878e-002
Linsitinib,SK-CO-1,0.439705392235571
Linsitinib,LS-411N,1.37610075435112e-002
5-Fluorouracil,LS-123,-3.19640020487642e-002
Oxaliplatin,LS-1034,0.147906269445307
5-Fluorouracil,LS-1034,8.38720866198229e-002
Irinotecan,HCC2998,1.1525895884659e-002
Mirin,HCC2998,-4.58884583808834e-003
VE-822,HCC2998,0.1413563204401
WZ4003,HCC2998,1.07969290357061e-002
GSK2606414,HCC2998,3.45846717664161e-003
VE-822,LU-139,1.3686221809934e-002
WZ4003,LU-139,-6.23085325322022e-003
CZC24832,LU-139,-8.87044010181826e-003
Entinostat,Ca9-22,8.97932372572288e-002
VE-822,Ca9-22,-2.68913512935089e-002
CZC24832,Ca9-22,-9.4959555946052e-002
AZD5582,Ca9-22,-1.92969920854257e-002
GSK2606414,Ca9-22,-4.10234867015721e-002
CZC24832,CaR-1,4.3284486211883e-002
AZD5582,CaR-1,5.10164441581856e-002
Alisertib,HT-115,0.391431237026085
5-Fluorouracil,HT-115,7.19959681747809e-002
Mirin,HT-115,-6.17004583509348e-002
WZ4003,HT-115,3.66525976928475e-002
CZC24832,HT-115,-1.59296756697592e-002
AZD5582,HT-115,0.119245853454875
Alisertib,GP5d,0.287670651709757
Mirin,GP5d,4.84760837716517e-002
Entinostat,GP5d,0.120582533522182
VE-822,GP5d,0.144794009291559
AZD5582,GP5d,0.121212177043565
VE-822,CW-2,-4.2184590985868e-002
CZC24832,CW-2,-3.44426480926854e-002
AZD5582,CW-2,-1.01685901267784e-002
GSK2606414,CW-2,9.52875187115451e-002
Entinostat,HuTu-80,0.168030849338693
WZ4003,HuTu-80,5.80902372933233e-002
CZC24832,HuTu-80,3.02503177822631e-002
AZD5582,HuTu-80,8.67978862950309e-002
Alisertib,SNU-C5,0.174993543738987
Mirin,SNU-C5,-3.18701153241895e-002
Linsitinib,SNU-C2B,9.96003753462105e-002
Mirin,SNU-C2B,-1.11493719619428e-003
GSK2606414,SNU-C2B,6.43001818106997e-002
CZC24832,MHH-ES-1,4.69254421214393e-002
Irinotecan,MFM-223,1.06596712380987e-002
Mirin,MFM-223,-7.00092156298284e-002
AZD5582,MFM-223,0.134954055365703
CZC24832,SKM-1,-5.07115497185852e-002
CZC24832,COLO-205,-4.26021664738307e-002
WZ4003,Ca9-22,-7.86568018768216e-002
GSK2606414,CaR-1,0.112845623978491
GSK2606414,HT-115,9.4732533959176e-002
WZ4003,GP5d,2.26116048104398e-002
CZC24832,GP5d,1.55982751094715e-002
Entinostat,CW-2,0.159153152217816
CZC24832,SNU-C5,3.10512123465638e-002
GSK2606414,SNU-C5,9.66422280444589e-002
AZD5582,C2BBe1,5.60274053203921e-002
Crizotinib,COLO-205,0.324072970488594
Oxaliplatin,COLO-205,0.167158754581551
Linsitinib,COLO-205,0.457063611061765
Entinostat,EM-2,0.440067271734924
GSK2606414,EM-2,0.226554255644402
Crizotinib,LS-513,0.291366842239263
Irinotecan,LS-513,0.230183965842371
Oxaliplatin,LS-513,0.381168777161816
Linsitinib,LS-513,0.295495198894212
5-Fluorouracil,LS-513,0.285389048686247
Entinostat,LS-513,0.267745243388103
VE-822,LS-513,0.238747939366869
Crizotinib,SNU-407,0.296889895246631
Oxaliplatin,SNU-407,0.150839398212804
Linsitinib,SNU-407,0.156635437611569
5-Fluorouracil,SNU-407,0.176281115929299
Crizotinib,RCM-1,0.177268353020508
Crizotinib,COLO-678,6.11766044125644e-002
Linsitinib,COLO-678,3.65358293372512e-002
5-Fluorouracil,COLO-678,2.22326140117739e-002
Crizotinib,LoVo,0.440238719953554
Oxaliplatin,LoVo,0.213724226293055
Crizotinib,SNU-175,0.306322603091738
Oxaliplatin,SNU-175,0.19153961440573
5-Fluorouracil,SNU-175,0.115841942475864
Irinotecan,LS-180,0.186359762183275
Oxaliplatin,LS-180,0.222316749987166
Crizotinib,CL-34,0.236052185734271
Linsitinib,CL-34,0.154233692659743
Oxaliplatin,T84,4.93065839782816e-002
5-Fluorouracil,MRK-nu-1,0.127378915340269
Irinotecan,HuTu-80,0.280006431813743
Crizotinib,CaR-1,0.154656987872816
VE-822,647-V,-4.21170753102953e-002
GSK2606414,647-V,3.96781306911355e-002
Entinostat,B-CPAP,0.136775942910424
AZD5582,B-CPAP,0.232995715448942
GSK2606414,8-MG-BA,0.143519082122633
Crizotinib,SW1116,0.104467468340193
Entinostat,C2BBe1,0.147598076161279
5-Fluorouracil,COLO-205,0.325534815646555
Linsitinib,LP-1,0.152660909635413
GSK2606414,LS-513,0.116679231934538
Crizotinib,SNU-1040,0.211628139478315
Entinostat,NCI-H841,5.73769487755259e-002
5-Fluorouracil,RCM-1,0.112201977938209
Linsitinib,LoVo,1.97322053023215e-002
Crizotinib,LS-180,0.12944254788026
Oxaliplatin,CL-34,6.13790731949885e-002
Linsitinib,T84,4.40967635673031e-002
Entinostat,697,0.499512167803641
Alisertib,HuTu-80,0.349506198907579
Entinostat,A101D,0.25100717677162
Entinostat,A172,0.135969734861076
Oxaliplatin,SW1116,0.142301442704565
Linsitinib,SW1116,6.8618007462089e-002
GSK2606414,SUIT-2,6.05572655550205e-002
Alisertib,PANC-02-03,0.223172526174766
Irinotecan,PANC-02-03,0.18429790976284
WZ4003,SNU-C5,3.57066017988648e-003
5-Fluorouracil,LP-1,-7.5157450706872e-002
WZ4003,NCI-H841,-3.83114221298903e-003
5-Fluorouracil,CL-34,4.46205097287619e-002
WZ4003,697,6.69458179435904e-002
GSK2606414,697,0.294375872243465
Mirin,HuTu-80,2.21002337932698e-002
Oxaliplatin,CaR-1,-5.98382661976181e-002
WZ4003,647-V,5.16364118117707e-002
VE-822,SUIT-2,3.92804523757788e-002
AZD5582,SNU-C5,0.154651574003046
VE-822,C2BBe1,-5.97250003837169e-002
WZ4003,C2BBe1,8.4805980476362e-002
CZC24832,C2BBe1,-2.06588313222498e-002
GSK2606414,C2BBe1,3.51965056801738e-002
VE-822,EM-2,-8.00280093017704e-003
CZC24832,EM-2,-4.70417176832156e-002
Alisertib,LP-1,-7.77743243553097e-002
Crizotinib,LP-1,-4.0314096692758e-002
Irinotecan,LP-1,1.12136447121018e-002
Mirin,LP-1,-2.6579988853284e-002
Alisertib,LS-513,0.35583799048165
Mirin,LS-513,3.52340836414833e-002
WZ4003,LS-513,4.6390149923151e-002
CZC24832,LS-513,5.99778701960259e-002
AZD5582,LS-513,-2.72444357982849e-002
Linsitinib,SNU-1040,6.15753893171894e-002
5-Fluorouracil,SNU-1040,4.32050948922939e-002
VE-822,NCI-H841,-9.0452466067717e-002
CZC24832,NCI-H841,1.19498613228168e-002
AZD5582,NCI-H841,0.127920129352729
GSK2606414,NCI-H841,5.99654223923791e-002
Alisertib,A427,0.561736911099638
Crizotinib,A427,3.47826244644885e-002
Irinotecan,A427,0.161426141736529
Oxaliplatin,A427,6.28473394696504e-002
5-Fluorouracil,A427,6.75364747334541e-002
Oxaliplatin,RCM-1,0.117306948091535
Linsitinib,RCM-1,0.185935436073243
Oxaliplatin,COLO-678,2.07279310503457e-002
Irinotecan,LoVo,5.78663129795122e-002
5-Fluorouracil,LoVo,0.272024668581179
Mirin,LoVo,0.107374804726694
Linsitinib,SNU-175,0.171836061193645
Alisertib,LS-180,0.13932049326436
Linsitinib,LS-180,3.1077014956055e-002
5-Fluorouracil,LS-180,-3.4168641002377e-002
Mirin,LS-180,-0.101178401983175
Crizotinib,T84,7.51497563341623e-002
Crizotinib,MRK-nu-1,6.06142060481216e-002
Linsitinib,MRK-nu-1,-1.49258053361455e-002
Entinostat,MRK-nu-1,0.238040373404625
VE-822,697,0.162071161413447
CZC24832,697,6.2888241295926e-002
AZD5582,697,0.472250953044287
Crizotinib,HuTu-80,0.145156275040009
Oxaliplatin,HuTu-80,0.101089077155401
Linsitinib,HuTu-80,0.112582539636154
5-Fluorouracil,HuTu-80,5.13878546626833e-002
Linsitinib,CaR-1,7.52749007645135e-002
5-Fluorouracil,CaR-1,-4.80364785969667e-002
AZD5582,647-V,0.858929050000012
VE-822,A101D,-2.66434806448167e-002
WZ4003,A101D,8.84931399852137e-002
AZD5582,A101D,0.893332735986549
GSK2606414,A101D,0.189811275191324
WZ4003,B-CPAP,6.07108474907947e-002
CZC24832,B-CPAP,2.38343672768943e-002
GSK2606414,B-CPAP,0.121692593558091
VE-822,A172,-4.66510282252243e-002
AZD5582,A172,3.07233271707433e-002
GSK2606414,A172,8.3633959504447e-002
Entinostat,8-MG-BA,0.128652182166316
VE-822,8-MG-BA,8.50406459485648e-002
AZD5582,8-MG-BA,0.261038209252968
5-Fluorouracil,SW1116,-6.08602701836683e-003
Entinostat,SUIT-2,6.94212799389613e-002
Crizotinib,PANC-02-03,2.94713961741255e-002
WZ4003,EM-2,2.45714396581007e-002
AZD5582,EM-2,0.457846573738321
Oxaliplatin,LP-1,1.21582730312967e-002
Oxaliplatin,SNU-1040,2.53902704082385e-002
Linsitinib,A427,0.133210745909276
Mirin,A427,4.64869771380909e-002
Alisertib,LoVo,-2.86232495928166e-002
5-Fluorouracil,T84,7.58275878255529e-002
Alisertib,MRK-nu-1,0.338978329370751
Entinostat,647-V,9.16784329196828e-002
CZC24832,647-V,3.36135684404508e-002
CZC24832,A101D,-7.29066988944676e-003
VE-822,B-CPAP,5.79508437757682e-002
WZ4003,A172,4.25980531521364e-002
CZC24832,A172,5.22552314377587e-002
WZ4003,8-MG-BA,0.186541502387421
CZC24832,8-MG-BA,7.65008400312943e-002
WZ4003,SUIT-2,-1.78473997005693e-002
CZC24832,SUIT-2,-1.38347662745867e-002
AZD5582,SUIT-2,-1.35950627243305e-002
Oxaliplatin,C2BBe1,0.21832554714609
5-Fluorouracil,C2BBe1,3.29633400192468e-002
Crizotinib,SW837,5.11354648912907e-002
Oxaliplatin,SW837,0.20219431643852
Linsitinib,SW837,0.122301446386963
Oxaliplatin,AGS,0.221156726850805
Entinostat,BT-474,0.360516658448958
Crizotinib,HCC1806,0.19333318306987
Linsitinib,HCC1806,2.85138462800859e-002
5-Fluorouracil,HCC1806,9.11935470787004e-002
Entinostat,BE2-M17,0.263058846510989
Entinostat,CAL-120,0.122003499145659
Entinostat,CADO-ES1,0.297182408381033
GSK2606414,CADO-ES1,0.117463886516353
Oxaliplatin,BALL-1,0.37809681326854
Crizotinib,BT-549,0.118718187527096
Oxaliplatin,BT-549,-6.51352192290031e-003
Oxaliplatin,SNU-81,6.62659997979895e-003
Entinostat,ZR-75-30,8.69929669171e-002
Entinostat,HC-1,0.237317559537317
Alisertib,EVSA-T,0.260177242727299
Irinotecan,NCI-H1781,0.348785892593671
Irinotecan,HCC-78,0.475897629655395
Irinotecan,VA-ES-BJ,0.286327695719691
Oxaliplatin,VA-ES-BJ,9.26937574737572e-002
Oxaliplatin,PANC-02-03,0.112974341507026
Crizotinib,C2BBe1,6.43318425570143e-002
Linsitinib,C2BBe1,0.120111703332155
Irinotecan,AGS,0.210457138152083
Oxaliplatin,SW948,0.145183307313692
Linsitinib,SW948,0.218379227120182
5-Fluorouracil,SW948,0.145393003001334
5-Fluorouracil,CAL-120,3.38856973150064e-002
Irinotecan,BALL-1,0.657175818444505
Linsitinib,BT-549,2.16611095933381e-002
VE-822,HC-1,0.13424704938599
Crizotinib,EVSA-T,0.237791621630665
5-Fluorouracil,HCC-78,0.207738156383115
Irinotecan,NUGC-3,0.399131084613139
Oxaliplatin,NUGC-3,0.133923908272646
Linsitinib,NUGC-3,6.81912864631847e-002
5-Fluorouracil,NUGC-3,0.13615396947227
Alisertib,KYSE-410,4.71729437350219e-002
5-Fluorouracil,TE-4,4.2532018893699e-002
Entinostat,CAL-51,0.236507520094031
5-Fluorouracil,AGS,0.111670546401124
Mirin,AGS,-2.63838772831727e-002
Crizotinib,SW948,0.248899630851101
Entinostat,HCC1806,0.187937994718586
Crizotinib,BALL-1,0.104575971530955
Crizotinib,SNU-81,4.18396393663746e-002
5-Fluorouracil,ZR-75-30,3.25186729357408e-003
Oxaliplatin,HCC-78,8.63577580194936e-002
Irinotecan,KYSE-410,9.41144866309876e-003
Irinotecan,ASH-3,0.101829668789043
Oxaliplatin,ASH-3,7.24696862573466e-002
5-Fluorouracil,ASH-3,-3.00157786461712e-002
Crizotinib,TE-4,-1.64123969954548e-002
Irinotecan,TE-4,4.23491108638372e-002
Oxaliplatin,TE-4,-4.87938652831672e-002
Crizotinib,NCI-H661,5.66564331749718e-002
5-Fluorouracil,NCI-H661,-2.97999623082462e-002
5-Fluorouracil,PANC-02-03,0.207283539712137
Mirin,PANC-02-03,7.13801010995175e-002
5-Fluorouracil,SW837,0.140278723134386
Alisertib,AGS,0.248909528587227
WZ4003,BT-474,2.03016952532809e-002
CZC24832,BT-474,-1.70048484836861e-002
AZD5582,BT-474,6.20100846953307e-002
GSK2606414,BT-474,4.98445871867938e-002
Alisertib,CAL-120,0.138451948699619
Crizotinib,CAL-120,8.13391014050695e-002
Linsitinib,CAL-120,-1.20564916916071e-002
Alisertib,HCC1806,8.56407498549558e-002
VE-822,BE2-M17,7.19932723548518e-003
CZC24832,BE2-M17,-3.27834630844884e-002
AZD5582,BE2-M17,0.121273353242087
GSK2606414,BE2-M17,5.5491505324774e-002
Entinostat,C3A,0.176206803440044
VE-822,C3A,-3.43077901143822e-002
WZ4003,C3A,5.95990580284363e-002
CZC24832,C3A,-7.38170746732312e-002
GSK2606414,C3A,6.59178184790047e-002
VE-822,CADO-ES1,3.21667576848938e-002
CZC24832,CADO-ES1,-3.22588202727561e-003
AZD5582,CADO-ES1,6.67789810331099e-002
5-Fluorouracil,BALL-1,5.00363449378684e-002
Mirin,BALL-1,2.85426854172718e-002
Alisertib,BT-549,0.226520459095826
Irinotecan,BT-549,7.14475468466062e-002
5-Fluorouracil,BT-549,3.45896798224252e-002
Mirin,BT-549,-9.05880599086634e-003
Linsitinib,SNU-81,2.90921374036164e-002
5-Fluorouracil,SNU-81,0.123644766506354
WZ4003,HC-1,2.49610124633017e-002
CZC24832,HC-1,-1.96797999051178e-002
GSK2606414,HC-1,3.41385032784183e-002
Irinotecan,EVSA-T,-4.76425863996761e-002
Oxaliplatin,EVSA-T,0.168781382619749
Linsitinib,EVSA-T,3.96039855133941e-002
Mirin,EVSA-T,-9.27876439395408e-002
Alisertib,NCI-H1781,0.348554015560449
Crizotinib,NCI-H1781,7.55874898006146e-002
Linsitinib,NCI-H1781,5.29010936475018e-002
5-Fluorouracil,NCI-H1781,4.85310050472769e-002
Alisertib,DAN-G,0.209978453971559
Crizotinib,DAN-G,7.52902202809857e-002
Irinotecan,DAN-G,3.36608018881584e-002
Oxaliplatin,DAN-G,5.50879801994856e-002
Linsitinib,DAN-G,6.96924043625444e-002
5-Fluorouracil,DAN-G,0.171454718514572
Alisertib,HCC-78,0.394405721012521
Linsitinib,HCC-78,0.105422528666567
Mirin,HCC-78,-5.97867004961255e-002
Alisertib,NUGC-3,0.1772282276039
Crizotinib,NUGC-3,-1.02923390757083e-004
Mirin,NUGC-3,2.83273492400363e-002
Oxaliplatin,KYSE-410,4.68027390314175e-002
Linsitinib,KYSE-410,4.21638200853045e-002
5-Fluorouracil,KYSE-410,9.56294458804768e-002
Mirin,KYSE-410,-2.41589982793117e-002
Alisertib,ASH-3,7.61245578398906e-002
Linsitinib,ASH-3,-2.9202393884179e-002
Mirin,ASH-3,-7.94394046326245e-002
Alisertib,TE-4,-3.09484788124807e-002
Linsitinib,TE-4,7.82885945026516e-003
Mirin,TE-4,-5.73497785511147e-002
Alisertib,NCI-H661,2.63242587252276e-002
Irinotecan,NCI-H661,1.10695880391338e-002
Oxaliplatin,NCI-H661,-2.92980153530799e-003
Linsitinib,NCI-H661,2.49168282954776e-002
Alisertib,VA-ES-BJ,0.222875746384643
Crizotinib,VA-ES-BJ,5.86413611856689e-002
5-Fluorouracil,VA-ES-BJ,0.126776481715801
Alisertib,CAL-51,0.243694449539935
Crizotinib,CAL-51,0.106176657669567
Linsitinib,PANC-02-03,0.161511930130343
Crizotinib,AGS,-6.75690738364084e-002
Linsitinib,AGS,-0.10066884525364
VE-822,BT-474,-2.46299473991063e-002
WZ4003,BE2-M17,5.25857720640634e-002
