Name	No transfer	Transfer	%change	GDSC Drug
MST-312	0.0767917652874618	0.08354914907858246	8.799620331457565	No
MOMELOTINIB	0.18178452660190303	0.18010135584110828	-0.9259153087769595	No
MLN4924	0.2521959118943246	0.23326171394076986	-7.507733892803375	No
MLN2480	0.07919538717237709	0.06316365458218895	-20.243265627697973	No
MLN2238	0.19468025169597725	0.06878019438514553	-64.67017389490731	No
ML203	0.14028884501351113	0.12068258919055272	-13.97563421458787	No
ML162	0.25549711230717376	0.2540339695080083	-0.5726651021426838	No
MYRICETIN	0.10221116698831402	0.04080629773642938	-60.0764780025505	No
PYR 41	0.08382236649175792	0.05759822977880751	-31.285369061405554	No
PYRAZOLANTHRONE	0.07088292617520972	0.04136604848006723	-41.641731355985684	No
QS-11	0.06758170626372842	0.0688572510392493	1.8874113218498019	No
TPCA-1	0.09861430825529756	0.09874262259264388	0.13011736290248618	No
TOSEDOSTAT	0.13192546014136486	0.133590960958357	1.2624559468714271	No
TIVOZANIB	0.07139002128792807	0.07473950445586708	4.691808613461504	No
TIVANTINIB	0.07582817571656769	0.059884137132482085	-21.026535893045352	No
TIPIFARNIB-P1	0.12387844391527812	0.12850859477172594	3.737656617332413	No
TIPIFARNIB	0.06735134709396204	0.08704197139157302	29.235679978517044	No
THALIDOMIDE	0.11770137787139626	0.050953834359310564	-56.70922865917159	No
TGX-221	0.09985928539778667	0.09277585236928028	-7.093414498501301	No
TG-101348	0.1852896669093807	0.17187757788206595	-7.238444135081842	No
TG-100-115	0.0538571739073522	0.05819693941057245	8.057915386881842	No
TEMSIROLIMUS	0.15203619000335872	0.12442143099268413	-18.16328007829224	No
TANDUTINIB	0.042764230992637584	0.04095165353951048	-4.238536297868094	No
TAMATINIB	0.0875609190813176	0.08305801467603653	-5.142596094839113	No
TACROLIMUS	0.04459026772152756	0.03971441236264228	-10.934797228255452	No
SUNITINIB	0.058370771881707625	0.062395835220917226	6.895682906792233	No
TRETINOIN	0.06651983022669303	0.03834544620297813	-42.354864598570636	No
TRIFLUOPERAZINE	0.17698148934847144	0.1450579442045661	-18.037787602210077	No
TRIPTOLIDE	0.20749460344488324	0.12808567264123694	-38.27035955888833	No
TW-37	0.1643316211719227	0.1399361458048108	-14.845271526646417	No
YM-155	0.12844554580306716	0.11139061965646337	-13.27794283559854	No
YK 4-279	0.0367261604786844	0.04061400118116541	10.58602547014815	No
XL765	0.05395545342461376	0.05298848831987897	-1.7921545337133127	No
WZ8040	0.1052735576735749	0.08098651219299327	-23.070413898131235	No
WZ4002	0.15677404577828075	0.15871461639755027	1.2378137016467627	No
WP1130	0.13239390288190267	0.10643608283447606	-19.60650715960944	No
WAY-362450	0.09170355483887446	0.0685636013295299	-25.23343129936681	No
SU11274	0.08980845796161192	0.10259827018314027	14.241211253170915	No
VX-680	0.06013564228580609	0.057882467125181414	-3.746821477213185	No
VORAPAXAR	0.12658511201089104	0.05585912983261705	-55.872275226322756	No
VER-155008	0.1090679645429963	0.08405958672040256	-22.9291689153464	No
VEMURAFENIB	0.032085424295143064	0.04881767048407385	52.14905695189337	No
VELIPARIB	0.04208813369746147	0.04360205535162929	3.5970272881430474	No
VANDETANIB	0.06576334410408824	0.08873485699389523	34.93057295481868	No
VALDECOXIB	0.038131690450496414	0.04087446159326992	7.19289155652369	No
UNC 0638	0.0779364633435422	0.06646682085904608	-14.716657636796008	No
VU0155056	0.0912485271317477	0.09031120540319856	-1.0272184746563697	No
STF-31	0.17092329153156965	0.16612093243665588	-2.8096575088637223	No
SRT-1720	0.12719708604756294	0.07429623245455713	-41.589674132333926	No
SR-8278	0.06326997081323772	0.05264339462860335	-16.795607850052956	No
SB743921	0.07472573976559001	0.08539615530508768	14.27943781215161	No
SB-743921	0.09757233964905797	0.08472487644242073	-13.167116062652779	No
SB-525334	0.102563959506609	0.09027291945176494	-11.983780768576953	No
SB-431542	0.060799719287279314	0.059121364708922784	-2.760464354163029	No
SB-225002	0.11785189683817406	0.10949818542491413	-7.088313075461701	No
SARACATINIB	0.15423907943126544	0.1507671500806858	-2.2510049744733154	No
SALERMIDE	0.06829550383827941	0.03896778379595835	-42.94238770354158	No
SCH-529074	0.0886454330227402	0.08452490412745839	-4.648326207876685	No
RO4929097	0.11041162251050672	0.09549210257053012	-13.51263535553684	No
RIGOSERTIB	0.1933057761506664	0.1718339143680966	-11.107718667358494	No
RG-108	0.06960040227311362	0.05327491760100088	-23.456020567311025	No
REGORAFENIB	0.08714563012925207	0.0776444348766582	-10.902664010234304	No
RAF265	0.12170413448593873	0.10233402370634696	-15.915737671040024	No
RAD51 INHIBITOR B02	0.134710741463593	0.06641371818163032	-50.69901816286912	No
R428	0.07856951215519722	0.06770007341723397	-13.834168546818784	No
QUIZARTINIB	0.12144513384054645	0.1325481850561745	9.14244224079492	No
RITA	0.09825725408959232	0.06933478388895221	-29.435455395759586	No
LENVATINIB	0.13278050105409672	0.07523128703808904	-43.341615341970495	No
SCH-79797	0.09385707052977274	0.07370503314365844	-21.470984841490235	No
SEMAGACESTAT	0.10263723379842556	0.0977106034962916	-4.800041972886385	No
SPAUTIN-1	0.09600031740246902	0.09249155048983428	-3.654953449710678	No
SOTRASTAURIN	0.14651603508760336	0.14943564111229052	1.9926870276973436	No
SONIDEGIB	0.040363045478306235	0.0510511133722316	26.479835124606343	No
SNS-032	0.16893385681708795	0.17361411315448375	2.770466752832925	No
SN-38	0.15393143845251944	0.15767311802665818	2.4307442402630866	No
SMER-3	0.1560068815820102	0.16404141900050045	5.1501173134254525	No
SKI-II	0.08682691109718288	0.09136892805314743	5.2311165957301	No
SELISISTAT	0.04900066296525957	0.040082941746042586	-18.199184826416445	No
SJ-172550	0.06972249167829554	0.05728313623661872	-17.84123765839132	No
SIROLIMUS	0.13589225457637313	0.1284300125283417	-5.491293136090804	No
SIMVASTATIN	0.14122041148258072	0.13039466316590015	-7.665852409738874	No
SILMITASERTIB	0.05554012810454292	0.05042748953326648	-9.205305687543506	No
SILDENAFIL	0.04894913600519095	0.0511818339343455	4.561261160805326	No
SID 26681509	0.04579191575145277	0.03967517145141716	-13.357694692739628	No
SGX-523	0.043804180212111486	0.05265125699552666	20.19687787917792	No
SERDEMETAN	0.13066957358668846	0.11914771658998105	-8.817551538930834	No
SITAGLIPTIN	0.033859706860132746	0.03812545744585956	12.598309262828892	No
LE-135	0.03957492125700328	0.05009673456736513	26.587073268022955	No
MASITINIB	0.08416954840468124	0.08643968620972169	2.697101087112622	No
CYCLOSPORIN A	0.06867371953837789	0.055490155281857995	-19.197393624721816	No
CH-55	0.06686770521314309	0.0677573016007709	1.3303827083525483	No
CERULENIN	0.04987230805349903	0.0520844473301208	4.435606377488611	No
CERANIB-2	0.07559773531859247	0.06388512359972877	-15.49333676399577	No
CD-437	0.10885326914123014	0.10207459277699067	-6.227352120628156	No
CD-1530	0.07938327392347	0.05881356646824195	-25.91189105536063	No
CCT036477	0.08080559016260944	0.08196337506044615	1.4328029725503444	No
CHIR-99021	0.05798723650109298	0.05398424019801962	-6.903236892480484	No
CAY10603	0.2355893353932445	0.20254190901486685	-14.027556180849638	No
CAY10576	0.06495014393293808	0.061130022308180834	-5.881621492173397	No
CANERTINIB	0.11742178631709435	0.09687945679695363	-17.494478805378343	No
CAL-101	0.08364182660456303	0.06770689481948983	-19.05139142932572	No
CABOZANTINIB	0.0702745181781625	0.060220012272874976	-14.30747042590457	No
C6-CERAMIDE	0.05497587021136688	0.04993628850293588	-9.166897566250812	No
BYL-719	0.13899297093329446	0.10971908333109393	-21.061415844006724	No
CAY10594	0.1007612146690505	0.08848733134680868	-12.18115855644982	No
CHLORAMBUCIL	0.07484093551534958	0.05751354576038727	-23.15228909907002	No
CI-976	0.05007953829068827	0.04842776750997617	-3.29829474689712	No
CICLOPIROX	0.08634428372734265	0.08983153438074717	4.0387741988995325	No
ELOCALCITOL	0.12087300530786478	0.1295483597285596	7.17724722620953	No
DOXORUBICIN	0.15113701541218774	0.1378597942309543	-8.784890415510198	No
DNMDP	0.045502158186619776	0.0420371153433429	-7.615117571051373	No
DEXAMETHASONE	0.05530935199829593	0.05854050214435622	5.841959866316716	No
DECITABINE	0.10750058468663022	0.06383436352438927	-40.619519688688435	No
DBEQ	0.11057914194071776	0.09749448207302976	-11.832846265621033	No
DARINAPARSIN	0.08139097222024425	0.055763503959853945	-31.48686833601432	No
DACARBAZINE	0.05081987256369276	0.04356840507397417	-14.268960396605273	No
L-685458	0.08520185083499662	0.04206304668258983	-50.631299355163236	No
CURCUMIN	0.1235985401621104	0.0693141528408691	-43.919925955470454	No
CUCURBITACIN I	0.2341999707322688	0.22048187232876115	-5.857429597713239	No
CLOFARABINE	0.17186401784327002	0.16030947243781107	-6.7230741783286	No
CIMETIDINE	0.08391688091239521	0.0368742697621588	-56.058579202135036	No
CID-5951923	0.08760990793702336	0.0481533015319954	-45.03669428963509	No
CID-2858522	0.04986282451922014	0.04320238053744964	-13.357534487849085	No
BRIVANIB	0.057093891808027264	0.06445994666085858	12.901651331807908	No
EPIGALLOCATECHIN GALLATE	0.07555127614513404	0.03814633989506937	-49.50933744416147	No
BREFELDIN A	0.15883004124968653	0.16651241629205565	4.836852639414831	No
BRD 9876	0.051231833550766194	0.04736878752161201	-7.540323586752455	No
AT7867	0.2747232306125256	0.2621155558801666	-4.589227749050862	No
AT406	0.12781978645687705	0.12689413376475414	-0.7241857601093739	No
AT13387	0.1995339233917499	0.17999055473814785	-9.794509285136485	No
AT-406	0.12779464439375396	0.13124861492228024	2.7027506081429293	No
APICIDIN	0.13073317801154252	0.12326530057747945	-5.712304670971688	No
AM-580	0.06792287810057336	0.06857372642167299	0.9582166411380828	No
AZ-3146	0.10965513970760793	0.06848684708273875	-37.54342271109514	No
ALVOCIDIB	0.16513363700263234	0.10617992376323117	-35.70060849471959	No
AC55649	0.06580329767695123	0.0603376432544695	-8.306049416116378	No
ABT-737	0.08017641689850391	0.08189170614630617	2.139393744638976	No
ABT-199	0.07964840834041938	0.06843193416588547	-14.082483766146842	No
ABIRATERONE	0.0465267687142788	0.037831280938190825	-18.68921486786891	No
A-804598	0.06993025041577071	0.04582522783965017	-34.4700933184194	No
968	0.1119038083996359	0.1168405431937562	4.411587831300618	No
AGK-2	0.03951815793134642	0.04102746305403361	3.819269929811138	No
AZACITIDINE	0.19695340321739868	0.13688445881391414	-30.49906395228925	No
AZD1480	0.12187033065084528	0.11618800266421928	-4.662601599814886	No
AZD7545	0.04312326995624295	0.038660841172322935	-10.348076081540267	No
BOSUTINIB	0.06716405558120518	0.07392895566657147	10.072203095578612	No
BMS-270394	0.052859058210568584	0.053805504546643526	1.7905092676920051	No
BMS-195614	0.051184769225127866	0.0440364616971161	-13.965692600021503	No
BLEOMYCIN	0.10598208805685468	0.10636028462908127	0.3568495197261174	No
BLEBBISTATIN	0.10381977631613208	0.05976456520299112	-42.434315191541614	No
BIX-01294	0.15709011012835106	0.11035711976705567	-29.749161371847038	No
BIRINAPANT	0.1919931561298994	0.1928292692919885	0.4354911284042809	No
BIRB-796	0.08704134084212897	0.09854283613960256	13.21383056165736	No
BEXAROTENE	0.08936880602333319	0.09413567942256948	5.333934301406814	No
BELINOSTAT	0.1801848556560756	0.1598423185945988	-11.289815110935416	No
BEC	0.06017019639177941	0.04963822359705365	-17.503637060032364	No
BAX CHANNEL BLOCKER	0.07561208654843203	0.07460989612979711	-1.3254367977174952	No
BARDOXOLONE METHYL	0.15246742458614518	0.1659969435714708	8.87371123507195	No
BARASERTIB	0.0609901751264224	0.05509670563169069	-9.662981754873696	No
BAFILOMYCIN A1	0.2357187584444391	0.18610190417441205	-21.04917512609509	No
BRD4770	0.05600421337719809	0.051181255086984435	-8.611777577751505	No
ERASTIN	0.03701224340465661	0.03528617545066776	-4.663505357180492	No
ZSTK474	0.07912765046529588	0.0697094914802822	-11.902487853022164	No
ISOX	0.17486948484162018	0.13255733298711395	-24.196418198880426	No
JW-480	0.048925569430300506	0.07120670037564303	45.54087199145281	No
IMATINIB	0.043386781278259734	0.0486231315072213	12.068999069966498	No
GMX-1778	0.39951969128212417	0.2424884367122545	-39.305009989853225	No
GOSSYPOL	0.08186752172455047	0.0669684046607206	-18.199057147422995	No
GSK-J4	0.139166161584552	0.1001063505835281	-28.06703192520882	No
IFOSFAMIDE	0.05568928408511821	0.048071419638644274	-13.67922854750731	No
GSK1059615	0.045939891601429236	0.04391432206338063	-4.409173525314949	No
GSK2636771	0.06828840090382098	0.0682495946372393	-0.05682702489450796	No
GSK4112	0.04368103669643578	0.033544709409600505	-23.205326735439776	No
JNJ 26854165	0.11636106324118095	0.11520406759420215	-0.9943151211850817	No
GSK461364	0.07914290119906411	0.06982577587786958	-11.772534466179915	No
JW-55	0.0481284794171098	0.04537056338028265	-5.730320322247092	No
IU1	0.08032861406930976	0.0502392847859804	-37.45779711494518	No
IC-87114	0.04969464187469472	0.050932570118621116	2.4910698562791564	No
ISX 9	0.10997297767646834	0.08596786310416821	-21.82819368856343	No
GW-405833	0.06349717215717363	0.059668920126504064	-6.029011845115787	No
GW-843682X	0.055372703008542856	0.06446299433054219	16.41655694611276	No
HBX-41108	0.11604946300707444	0.12224866571423175	5.341862466678884	No
I-BET151	0.31257803556105673	0.32141780399040043	2.8280197018568187	No
HC-067047	0.12939498873278127	0.12491475936219533	-3.462444268099315	No
HLI 373	0.04713711168759495	0.04884506923192752	3.623381839032048	No
HMN-214	0.07314673364396909	0.0576656848303452	-21.164374733362134	No
HOMOHARRINGTONINE	0.2328443347141295	0.11907451922640205	-48.86089052903362	No
HYPERFORIN	0.1574707861809053	0.1732471510273401	10.018597880314527	No
GSK525762A	0.2890390151859278	0.2806470895841129	-2.903388525738192	No
JW-74	0.051946568239022106	0.050172175618636516	-3.4158033543641704	No
GDC-0941	0.18292811560610397	0.1745271337057753	-4.592504477779877	No
GDC-0879	0.08988343855558759	0.06722758285266411	-25.205817742399972	No
ETOMOXIR	0.08307104568536107	0.06573011196206606	-20.87482296656687	No
ETOPOSIDE	0.08584240010499332	0.06776327320458346	-21.06083576216111	No
KX2-391	0.1449771034809893	0.12775881009797035	-11.876560484102072	No
EX-527	0.03806772319798892	0.03837175476643905	0.7986597119792869	No
KW-2449	0.08913632696134262	0.08402129925160902	-5.738432224105361	No
FGIN-1-27	0.04583734202181658	0.045921765208957584	0.18417993587154868	No
FINGOLIMOD	0.15979219544827716	0.09016196742229647	-43.57548742017202	No
FLUOROURACIL	0.05806331993169965	0.0544614677295173	-6.203317699399961	No
KU-60019	0.05318815060093246	0.05301730181603829	-0.32121587790491163	No
ISOEVODIAMINE	0.0585682325260638	0.06698976632248284	14.379013047169076	No
FLUVASTATIN SODIUM	0.1247927689035092	0.1404974566752633	12.584613603611206	No
ISTRADEFYLLINE	0.06257439183838251	0.03783514734288258	-39.535733019022516	No
KU-0063794	0.17664136674277767	0.10041421106088604	-43.15362651880542	No
KU 0060648	0.06900811266611227	0.06376366509777717	-7.599755109532919	No
FSC231	0.06987834856816058	0.048360986548928835	-30.79260237274115	No
IPR-456	0.048771480205369096	0.04922059788523213	0.9208612860874189	No
KO-143	0.05233361931279453	0.06569354130758025	25.52837386410131	No
IMPORTAZOLE	0.0808352736663857	0.06979404008966347	-13.658930162456514	No
KI8751	0.041728122756139206	0.05561089500288671	33.269582549588854	No
FUMONISIN B1	0.05213559147698547	0.051305697449238685	-1.5917993912337736	No
KHS101	0.17123665559521625	0.1616589844008433	-5.593236542188407	No
KH-CB19	0.0810624491677679	0.05114890399401502	-36.9018521903322	No
GANT 61	0.047955409075766765	0.04908440868263913	2.354269577991942	No
ITRACONAZOLE	0.14102493656434678	0.161644165150259	14.620980578497969	No
MK-2206	0.16976400196730956	0.14118434928773232	-16.834931050388793	Yes
MK-1775	0.13535406297267696	0.12687410086708026	-6.265022208685749	Yes
AZD8055	0.22273581274070348	0.1323314007695827	-40.588179717809695	Yes
PEVONEDISTAT	0.2592612832398337	0.24416824362771045	-5.821555545631245	Yes
MIRA-1	0.09179499196886054	0.04600858072832152	-49.878986051952666	Yes
TOPOTECAN	0.15599704529420022	0.13885933487614427	-10.985919884402524	Yes
AZD6482	0.11124036051977047	0.10021819849769473	-9.908419903149095	Yes
AZD4547	0.0963279794304854	0.09091717757287686	-5.6170615117212375	Yes
TRAMETINIB	0.12340536857559295	0.1012015512969526	-17.99258616940901	Yes
TENIPOSIDE	0.13734244535792098	0.13179457947773382	-4.039440149568587	Yes
AXITINIB	0.05346598443445876	0.06255498988043902	16.999603658513028	Yes
VINCRISTINE	0.19989835670993494	0.15671969273729752	-21.600309618999205	Yes
VORINOSTAT	0.1998909025925156	0.16494022804326305	-17.484875047315526	Yes
ALISERTIB	0.07940953613305629	0.06107721163009217	-23.085797242596925	Yes
AFATINIB	0.1726588429887923	0.14131455661369655	-18.153884175588036	Yes
KU-55933	0.05889873963239349	0.06347197244843394	7.764568214164703	Yes
LINSITINIB	0.06034259880498177	0.05775098100948031	-4.294839544244988	Yes
AZD7762	0.2484512583128815	0.26389633732845724	6.216542882678953	Yes
MG-132	0.1940004968930006	0.08364498262420042	-56.88414000798455	Yes
BORTEZOMIB	0.17463363299254828	0.060372297931308584	-65.42916911435685	Yes
TAMOXIFEN	0.1324339306209839	0.12773159731226308	-3.550701309454115	Yes
CISPLATIN	0.05148510182005521	0.04416895817210528	-14.210214973489746	Yes
CRIZOTINIB	0.08363342064253644	0.08071470151216525	-3.4898956756130914	Yes
OSI-027	0.1483439184983632	0.1485350370137249	0.12883474920732707	Yes
FULVESTRANT	0.06362990590211047	0.07823962796427006	22.96046466678024	Yes
CYCLOPHOSPHAMIDE	0.0563009567965493	0.04990582152936403	-11.358839407107963	Yes
CYTARABINE	0.18288384218447049	0.1340830605827224	-26.68403125111726	Yes
OLAPARIB	0.07490875734815998	0.06890647207237131	-8.012795150093494	Yes
DABRAFENIB	0.07759797282066243	0.057882395432356876	-25.4073356192828	Yes
DAPORINAD	0.3576741880126268	0.24128912966941626	-32.53940660070831	Yes
PRIMA-1MET	0.07441165684025901	0.050601480077753	-31.997912388404124	Yes
PLX-4720	0.06320921026358697	0.05514519426705312	-12.757659782342362	Yes
DASATINIB	0.14893486164904754	0.16633702094478234	11.684409615756397	Yes
DINACICLIB	0.29106233589257596	0.14962373626033534	-48.59392033617231	Yes
DOCETAXEL	0.0855726513822926	0.0599511190764642	-29.941262648699723	Yes
FORETINIB	0.1279064345509336	0.09458294569770646	-26.05301990491916	Yes
NVP-ADW742	0.14775235889613794	0.14853980750380394	0.5329516317364053	Yes
GEFITINIB	0.12129344354482426	0.10402260014643604	-14.23889279885581	Yes
RUXOLITINIB	0.06413442990187218	0.07275763271859781	13.44551254282515	Yes
BI-2536	0.19606881578654176	0.16946037461350244	-13.570970511704253	Yes
BIBR-1532	0.07810230720634806	0.04035456358836585	-48.33115047197238	Yes
IBRUTINIB	0.12934986264973894	0.10805826114532588	-16.460474768394377	Yes
SORAFENIB	0.08268227691046677	0.08326786179623047	0.7082350748489962	Yes
BMS-345541	0.07482610630157244	0.06704783338061246	-10.395132535175788	Yes
BMS-536924	0.14531151826433092	0.15428852533013096	6.177767029775501	Yes
BMS-754807	0.19448867193211927	0.1976326678908369	1.616544515155586	Yes
ERLOTINIB	0.1413086605348552	0.09442411147021187	-33.178822081523286	Yes
NAVITOCLAX	0.06224446289999471	0.07238831678048506	16.296797189475324	Yes
NELARABINE	0.06042419945280629	0.045722027716238185	-24.33159540334678	Yes
SEPANTRONIUM BROMIDE	0.11077809629096527	0.11966370762406713	8.021090477817262	Yes
SELUMETINIB	0.0938409815145608	0.07863611489198577	-16.202800074310574	Yes
NILOTINIB	0.05868848025507253	0.04226032200131598	-27.99213437178183	Yes
CEDIRANIB	0.09562896071888673	0.10479840492587852	9.588564110768205	Yes
GEMCITABINE	0.1982025975125224	0.18205580771656532	-8.14660857052437	Yes
TEMOZOLOMIDE	0.04838937334991002	0.03915803763752869	-19.0771962381664	Yes
LAPATINIB	0.09769458513720616	0.0778501209302079	-20.3127575383302	Yes
